"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Side","Deck","CabinNumbers"
0,3,"male",22,1,0,7.25,"S",NA,NA,NA
1,1,"female",38,1,0,71.2833,"C","Steuerbord","C","85"
1,3,"female",26,0,0,7.925,"S",NA,NA,NA
1,1,"female",35,1,0,53.1,"S","Steuerbord","C","123"
0,3,"male",35,0,0,8.05,"S",NA,NA,NA
0,3,"male",NA,0,0,8.4583,"Q",NA,NA,NA
0,1,"male",54,0,0,51.8625,"S","Backbord","E","46"
0,3,"male",2,3,1,21.075,"S",NA,NA,NA
1,3,"female",27,0,2,11.1333,"S",NA,NA,NA
1,2,"female",14,1,0,30.0708,"C",NA,NA,NA
1,3,"female",4,1,1,16.7,"S","Backbord","G","6"
1,1,"female",58,0,0,26.55,"S","Steuerbord","C","103"
0,3,"male",20,0,0,8.05,"S",NA,NA,NA
0,3,"male",39,1,5,31.275,"S",NA,NA,NA
0,3,"female",14,0,0,7.8542,"S",NA,NA,NA
1,2,"female",55,0,0,16,"S",NA,NA,NA
0,3,"male",2,4,1,29.125,"Q",NA,NA,NA
1,2,"male",NA,0,0,13,"S",NA,NA,NA
0,3,"female",31,1,0,18,"S",NA,NA,NA
1,3,"female",NA,0,0,7.225,"C",NA,NA,NA
0,2,"male",35,0,0,26,"S",NA,NA,NA
1,2,"male",34,0,0,13,"S","Backbord","D","56"
1,3,"female",15,0,0,8.0292,"Q",NA,NA,NA
1,1,"male",28,0,0,35.5,"S","Backbord","A","6"
0,3,"female",8,3,1,21.075,"S",NA,NA,NA
1,3,"female",38,1,5,31.3875,"S",NA,NA,NA
0,3,"male",NA,0,0,7.225,"C",NA,NA,NA
0,1,"male",19,3,2,263,"S","Steuerbord","C","23, 25, 27"
1,3,"female",NA,0,0,7.8792,"Q",NA,NA,NA
0,3,"male",NA,0,0,7.8958,"S",NA,NA,NA
0,1,"male",40,0,0,27.7208,"C",NA,NA,NA
1,1,"female",NA,1,0,146.5208,"C","Backbord","B","78"
1,3,"female",NA,0,0,7.75,"Q",NA,NA,NA
0,2,"male",66,0,0,10.5,"S",NA,NA,NA
0,1,"male",28,1,0,82.1708,"C",NA,NA,NA
0,1,"male",42,1,0,52,"S",NA,NA,NA
1,3,"male",NA,0,0,7.2292,"C",NA,NA,NA
0,3,"male",21,0,0,8.05,"S",NA,NA,NA
0,3,"female",18,2,0,18,"S",NA,NA,NA
1,3,"female",14,1,0,11.2417,"C",NA,NA,NA
0,3,"female",40,1,0,9.475,"S",NA,NA,NA
0,2,"female",27,1,0,21,"S",NA,NA,NA
0,3,"male",NA,0,0,7.8958,"C",NA,NA,NA
1,2,"female",3,1,2,41.5792,"C",NA,NA,NA
1,3,"female",19,0,0,7.8792,"Q",NA,NA,NA
0,3,"male",NA,0,0,8.05,"S",NA,NA,NA
0,3,"male",NA,1,0,15.5,"Q",NA,NA,NA
1,3,"female",NA,0,0,7.75,"Q",NA,NA,NA
0,3,"male",NA,2,0,21.6792,"C",NA,NA,NA
0,3,"female",18,1,0,17.8,"S",NA,NA,NA
0,3,"male",7,4,1,39.6875,"S",NA,NA,NA
0,3,"male",21,0,0,7.8,"S",NA,NA,NA
1,1,"female",49,1,0,76.7292,"C","Steuerbord","D","33"
1,2,"female",29,1,0,26,"S",NA,NA,NA
0,1,"male",65,0,1,61.9792,"C","Backbord","B","30"
1,1,"male",NA,0,0,35.5,"S","Backbord","C","52"
1,2,"female",21,0,0,10.5,"S",NA,NA,NA
0,3,"male",28.5,0,0,7.2292,"C",NA,NA,NA
1,2,"female",5,1,2,27.75,"S",NA,NA,NA
