"";"Survived";"Pclass";"Sex";"Age";"SibSp";"Parch";"Fare";"Embarked";"Title";"Side";"Deck";"CabinNumbers"
"1";"no";"3";"male";22;1;0;7,25;"Southampton";"Mr";NA;NA;NA
"2";"yes";"1";"female";38;1;0;71,2833;"Cherbourg";"Mrs";"Steuerbord";"C";"85"
"3";"yes";"3";"female";26;0;0;7,925;"Southampton";"Ms";NA;NA;NA
"4";"yes";"1";"female";35;1;0;53,1;"Southampton";"Mrs";"Steuerbord";"C";"123"
"5";"no";"3";"male";35;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"6";"no";"3";"male";30;0;0;8,4583;"Queenstown";"Mr";NA;NA;NA
"7";"no";"1";"male";54;0;0;51,8625;"Southampton";"Mr";"Backbord";"E";"46"
"8";"no";"3";"male";2;3;1;21,075;"Southampton";"Master";NA;NA;NA
"9";"yes";"3";"female";27;0;2;11,1333;"Southampton";"Mrs";NA;NA;NA
"10";"yes";"2";"female";14;1;0;30,0708;"Cherbourg";"Mrs";NA;NA;NA
"11";"yes";"3";"female";4;1;1;16,7;"Southampton";"Ms";"Backbord";"G";"6"
"12";"yes";"1";"female";58;0;0;26,55;"Southampton";"Ms";"Steuerbord";"C";"103"
"13";"no";"3";"male";20;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"14";"no";"3";"male";39;1;5;31,275;"Southampton";"Mr";NA;NA;NA
"15";"no";"3";"female";14;0;0;7,8542;"Southampton";"Ms";NA;NA;NA
"16";"yes";"2";"female";55;0;0;16;"Southampton";"Mrs";NA;NA;NA
"17";"no";"3";"male";2;4;1;29,125;"Queenstown";"Master";NA;NA;NA
"18";"yes";"2";"male";30;0;0;13;"Southampton";"Mr";NA;NA;NA
"19";"no";"3";"female";31;1;0;18;"Southampton";"Mrs";NA;NA;NA
"20";"yes";"3";"female";35;0;0;7,225;"Cherbourg";"Mrs";NA;NA;NA
"21";"no";"2";"male";35;0;0;26;"Southampton";"Mr";NA;NA;NA
"22";"yes";"2";"male";34;0;0;13;"Southampton";"Mr";"Backbord";"D";"56"
"23";"yes";"3";"female";15;0;0;8,0292;"Queenstown";"Ms";NA;NA;NA
"24";"yes";"1";"male";28;0;0;35,5;"Southampton";"Mr";"Backbord";"A";"6"
"25";"no";"3";"female";8;3;1;21,075;"Southampton";"Ms";NA;NA;NA
"26";"yes";"3";"female";38;1;5;31,3875;"Southampton";"Mrs";NA;NA;NA
"27";"no";"3";"male";30;0;0;7,225;"Cherbourg";"Mr";NA;NA;NA
"28";"no";"1";"male";19;3;2;263;"Southampton";"Mr";"Steuerbord";"C";"23, 25, 27"
"29";"yes";"3";"female";22;0;0;7,8792;"Queenstown";"Ms";NA;NA;NA
"30";"no";"3";"male";30;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"31";"no";"1";"male";40;0;0;27,7208;"Cherbourg";"Mr";NA;NA;NA
"32";"yes";"1";"female";35;1;0;146,5208;"Cherbourg";"Mrs";"Backbord";"B";"78"
"33";"yes";"3";"female";22;0;0;7,75;"Queenstown";"Ms";NA;NA;NA
"34";"no";"2";"male";66;0;0;10,5;"Southampton";"Mr";NA;NA;NA
"35";"no";"1";"male";28;1;0;82,1708;"Cherbourg";"Mr";NA;NA;NA
"36";"no";"1";"male";42;1;0;52;"Southampton";"Mr";NA;NA;NA
"37";"yes";"3";"male";30;0;0;7,2292;"Cherbourg";"Mr";NA;NA;NA
"38";"no";"3";"male";21;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"39";"no";"3";"female";18;2;0;18;"Southampton";"Ms";NA;NA;NA
